disease,symptoms,cures,doctor,risk_level,description
failure heart,"['systolic ejection murmur', 'orthopnea', 'hypokinesia', 'dyspnea', 'pansystolic murmur', 'angina pectoris', 'hypotension', 'shortness of breath', 'dyspnea on exertion', 'fatigue', 'jugular venous distention']",,,,
failure heart congestive,"['orthopnea', 'dyspnea', 'cough', 'shortness of breath', 'wheezing', 'jugular venous distention', 'rale']",,,,
failure kidney,"['orthopnea', 'haemorrhage', 'slowing of urinary stream', 'prostatism', 'bedridden', 'enuresis', 'oliguria', 'no status change', 'hypotension', 'shortness of breath', 'fatigue', 'unresponsiveness', 'extreme exhaustion']",,,,
fibroid tumor,"['hypotonic', 'proteinemia', 'haemorrhage', 'abnormally hard consistency', 'heartburn', 'primigravida', 'para 2', 'fever', 'abortion', 'previous pregnancies 2', 'shortness of breath', 'intermenstrual heavy bleeding']",,,,
gastritis,"['heme positive', 'guaiac positive', 'haemorrhage', 'vomiting', 'decreased body weight', 'pain', 'sore to touch', 'disequilibrium', 'dizziness', 'intoxication', 'nausea', 'pain abdominal']",,,,
gastroenteritis,"['myalgia', 'sunken eyes', 'vomiting', 'decreased body weight', 'retch', 'hyponatremia', 'scleral\xa0icterus', 'fever', 'sore to touch', 'mass of body structure', 'diarrhoea', 'breath-holding spell', 'dehydration', 'nausea', 'pain abdominal']",,,,"Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting ."
gastroesophageal reflux disease,"['sensory discomfort', 'heartburn', 'hyponatremia', 'palpitation', 'burning sensation', 'throbbing sensation quality', 'presence of q wave', 'constipation', 'pain chest', 'pain', 'satiety early', 'chest tightness', 'sweating increased', 'general discomfort', 'asthenia', 'nausea', 'pain abdominal']",,,,
gout,"['patient non compliance', 'hypokinesia', 'erythema', 'swelling', 'pain', 'sore to touch', 'hot flush', 'redness', 'emphysematous change', 'ascites']",,,,
hemiparesis,"['stupor', 'dysarthria', 'stinging sensation', 'speech slurred', 'paresis', 'clonus', 'fremitus', 'abnormal sensation', 'asthenia', 'sleepy', ""stahli's line"", 'hemiplegia', 'paralyse', 'unresponsiveness', 'aphagia', 'facial paresis', 'seizure', 'focal seizures']",,,,
hemorrhoids,"['diarrhea', 'guaiac positive', 'haemorrhage', 'numbness of hand', 'nausea and vomiting', 'bowel sounds decreased', 'cough', 'hyponatremia', 'clonus', 'burning sensation', 'pain', 'hunger', 'decreased stool caliber', 'wheezing', 'achalasia', 'dizziness']",,,,
hepatitis b,"['malaise', 'yellow sputum', 'wheelchair bound', 'inappropriate affect', 'dark urine', 'projectile vomiting', 'yellowing of eyes', 'receiving unsterile injections', 'lethargy', 'yellow urine', 'moan', 'fatigue', 'itching', 'pain abdominal', 'abdominal pain', 'loss of appetite', 'tachypnea', 'receiving blood transfusion', 'abdominal tenderness', 'poor feeding', 'yellowish skin']",,,,"Hepatitis B is an infection of your liver. It can cause scarring of the organ, liver failure, and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood, open sores, or body fluids of someone who has the hepatitis B virus."
hepatitis c,"['patient non compliance', 'asterixis', 'distended abdomen', 'cough', 'yellowing of eyes', 'ache', 'heavy feeling', 'loss of appetite', 'family history', 'feeling suicidal', 'macerated skin', 'chill', 'fatigue', 'hallucinations auditory', 'nausea', 'ascites', 'yellowish skin']",,,,"Inflammation of the liver due to the hepatitis C virus (HCV), which is usually spread via blood transfusion (rare), hemodialysis, and needle sticks. The damage hepatitis C does to the liver can lead to cirrhosis and its complications as well as cancer."
hernia,"['haemorrhage', 'posturing', 'thicken', 'gag', 'apyrexial', 'food intolerance', 'pain', 'sore to touch', 'pulse absent', 'asthenia', 'hemiplegia', 'mass of body structure', 'hyperventilation', 'excruciating pain', 'nausea', 'pain abdominal']",,,,
hernia hiatal,"['myalgia', 'guaiac positive', 'fatigability', 'asterixis', 'numbness of hand', 'vomiting', 'hyponatremia', 'prodrome', 'sore to touch', 'general discomfort', 'dyspnea on exertion', 'headache', 'photophobia', 'nausea', 'pain abdominal']",,,,
hiv infections,"['diarrhea', 'patient non compliance', 'hypotonic', 'spontaneous rupture of membranes', 'cough', 'decreased body weight', 'tachypnea', 'fever', 'feeling suicidal', 'chill', 'night sweat', 'pleuritic pain', 'productive cough']",,,,
hyperbilirubinemia,"['myalgia', 'para 1', 'cough', 'bradycardia', 'cushingoid\xa0habitus', 'cyanosis', 'tachypnea', 'breech presentation']",,,,
hypercholesterolemia,"['t wave inverted', 'nonsmoker', 'dyspnea', 'numbness', 'bradycardia', 'syncope', 'chest discomfort', 'pain chest', 'pain', 'st segment depression', 'sweating increased', 'shortness of breath', 'worry', 'pressure chest']",,,,
hyperglycemia,"['feeling strange', 'decreased body weight', 'estrogen use', 'cushingoid\xa0habitus', 'seizure', 'sore to touch', 'mood depressed', 'pruritus', 'pustule', 'wheezing', 'ascites']",,,,
hyperlipidemia,"['hypokinesia', 'palpitation', 'presence of q wave', 'angina pectoris', 'chest discomfort', 'pain chest', 'sweating increased', 'shortness of breath', 'giddy mood', 'hemiplegia', 'dizziness', 'photopsia']",,,,
hypertension pulmonary,"['heavy legs', 'cyanosis', 'breath sounds decreased', 'left\xa0atrial\xa0hypertrophy', 'hypotension', ""stahli's line"", 'shortness of breath', 'dyspnea on exertion', 'neck stiffness']",,,,
hypertensive disease,"['syncope', 'palpitation', 'angina pectoris', 'pain chest', 'asthenia', 'fall', 'shortness of breath', 'sweating increased', 'dizziness', 'vertigo', 'pressure chest', 'nausea']",,,,
hypoglycemia,"['clammy skin', 'incoherent', 'qt interval prolonged', 'irritability', 'excessive hunger', 'vomiting', 'blurred and distorted vision', 'hypotension', 'palpitations', 'fatigue', 'unresponsiveness', 'anxiety', 'nausea', 'polyuria', 'hypothermia, natural', 'slurred speech', 'drying and tingling lips', 'unconscious state', 'headache', 'sweating', 'distress respiratory', 'claudication']",,,, Hypoglycemia is a condition in which your blood sugar (glucose) level is lower than normal. Glucose is your body's main energy source. Hypoglycemia is often related to diabetes treatment. But other drugs and a variety of conditions — many rare — can cause low blood sugar in people who don't have diabetes.
hypothyroidism,"['prostatism', 'unsteady gait', 'motor retardation', 'irritability', 'vomiting', 'enlarged thyroid', 'speech slurred', 'hyponatremia', 'lethargy', 'weight gain', 'sleepy', 'fall', 'hypotension', 'tired', 'mass of body structure', 'difficulty', 'fatigue', 'dizziness', 'polyuria', 'agitation', 'brittle nails', 'cold hands and feets', 'numbness', 'abnormal menstruation', 'syncope', 'nightmare', 'mental status changes', 'swollen extremeties', 'puffy face and eyes', 'asthenia', 'shortness of breath', 'depression', 'mood swings']",,,,"Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone."
ileus,"['diarrhea', 'thicken', 'flatulence', 'abdomen acute', 'apyrexial', 'constipation', 'air fluid level', 'sore to touch', 'mass of body structure', 'gravida 0', 'abscess bacterial', 'abdominal tenderness', 'nausea', 'catching breath', 'pain abdominal']",,,,
incontinence,"['urge incontinence', 'moody', 'tremor', 'spasm', 'syncope', 'aura', 'fear of falling', 'asthenia', 'unconscious state', 'fall', 'stiffness', 'unresponsiveness', 'unhappy', 'seizure', 'paraparesis']",,,,
infection,"['diarrhea', 'erythema', 'cough', 'swelling', 'apyrexial', 'fever', 'pain', 'chill', 'decreased translucency', 'pruritus', 'abscess bacterial', 'hepatosplenomegaly']",,,,
infection urinary tract,"['hematuria', 'hyponatremia', 'mental status changes', 'lethargy', 'renal angle tenderness', 'fever', 'asthenia', 'consciousness clear', 'hemodynamically stable', 'dysuria', 'difficulty passing urine', 'distress respiratory']",,,,
insufficiency renal,"['diarrhea', 'orthopnea', 'guaiac positive', 'hypokinesia', 'dyspnea', 'swelling', 'mental status changes', 'apyrexial', 'hyperkalemia', 'urgency of\xa0micturition', 'asthenia', 'hypotension', 'shortness of breath', 'breath sounds decreased', 'difficulty', 'ascites', 'rale']",,,,
ischemia,"['anorexia', 'dyspnea', 'asymptomatic', 'bradycardia', 'sinus rhythm', 'chest discomfort', 'angina pectoris', 'pain chest', 'sleepy', 'sweating increased', 'shortness of breath', 'pressure chest', 'rale']",,,,
ketoacidosis diabetic,"['diarrhea', 'feeling strange', 'vomiting', 'regurgitates after swallowing', 'polyuria', 'aura', 'nervousness', 'gurgle', 'urinary hesitation', 'abdominal tenderness', 'vision blurred', 'milky', 'seizure', 'nausea', 'pain abdominal']",,,,
kidney failure acute,"['diarrhea', 'haemorrhage', 'hypothermia, natural', 'oliguria', 'hyperkalemia', 'asthenia', 'hypotension', 'hemodynamically stable', 'unresponsiveness', 'hypocalcemia result']",,,,
lymphatic diseases,"['redness', 'decreased body weight', 'swelling', 'fremitus', 'pain', 'fever', 'mass of body structure', 'chill', 'night sweat', 'lesion', 'splenomegaly', 'hyperacusis', 'egophony', 'hepatomegaly', 'fatigue', 'non-productive cough']",,,,
lymphoma,"['tinnitus', 'haemoptysis', 'welt', 'decreased body weight', 'superimposition', 'fever', 'hydropneumothorax', 'polydypsia', 'tired', 'transaminitis', 'lesion', 'difficulty passing urine', 'ataxia']",,,,
malignant neoplasms,"['thicken', 'dullness', 'heartburn', 'gravida 10', 'pulsus\xa0paradoxus', 'food intolerance', 'mass of body structure', 'chill', 'night sweat', 'lesion', 'decreased translucency', 'hypotension', 'distress respiratory', 'pain abdominal']",,,,
manic disorder,"['energy increased', 'verbal auditory hallucinations', 'suicidal', 'hallucinations visual', 'decompensation', 'hypersomnia', 'feeling hopeless', 'blanch', 'feeling suicidal', 'hallucinations auditory', 'difficulty', 'verbally abusive behavior', 'elation']",,,,
melanoma,"['diarrhea', 'vomiting', 'mass in breast', 'fever', 'pain', 'mass of body structure', 'gravida 0', 'pruritus', 'paraparesis']",,,,
migraine disorders,"['vomiting', 'numbness', 'ambidexterity', 'fever', 'splenomegaly', 'dizziness', 'nausea']",,,,
mitral valve insufficiency,"['thicken', 'hypokinesia', 'dyspnea', 'vomiting', 'asymptomatic', 'syncope', 'palpitation', 'chest discomfort', 'left\xa0atrial\xa0hypertrophy', 'pain', 'shortness of breath', 'dyspnea on exertion', 'fatigue', 'cardiomegaly']",,,,
myocardial infarction,"['t wave inverted', 'orthopnea', 'hypokinesia', 'dyspnea', 'bradycardia', 'palpitation', 'syncope', 'st segment elevation', 'presence of q wave', 'angina pectoris', 'chest discomfort', 'pain chest', 'st segment depression', 'chest tightness', 'sweating increased', 'shortness of breath', 'pressure chest', 'rale']",,,,
neoplasm,"['thicken', 'hematuria', 'tumor cell invasion', 'decreased body weight', 'anosmia', 'metastatic lesion', 'pain chest', 'pain', 'food intolerance', 'mass of body structure', 'hemianopsia homonymous', 'night sweat', 'lesion', 'satiety early', 'headache', 'pain abdominal']",,,,
neoplasm metastasis,"['thicken', 'atypia', 'tumor cell invasion', 'pain neck', 'metastatic lesion', 'lung nodule', 'food intolerance', 'pain', 'mass of body structure', 'pain abdominal']",,,,
neuropathy,"['fatigability', 'slowing of urinary stream', 'nausea and vomiting', 'numbness', 'superimposition', 'pain', 'asthenia', 'hydropneumothorax', 'tenesmus', 'awakening early']",,,,
neutropenia,"['rhd positive', 'cough', 'oliguria', 'apyrexial', 'snuffle', 'night sweat', 'lesion', 'transaminitis', 'splenomegaly', 'chill', 'hypocalcemia result', 'monoclonal', 'distress respiratory']",,,,
obesity,"['systolic murmur', 'overweight', 'r wave feature', 'catatonia', 'pain', 'pain chest', 'shortness of breath', 'tired', 'mood depressed', 'ecchymosis', 'has religious belief', 'snore']",,,,
obesity morbid,"['out of breath', 'cough', 'labored breathing', 'dyspnea', 'hypothermia, natural', 'angina pectoris', 'hypoxemia', 'renal angle tenderness', 'sedentary', 'feels hot/feverish', 'hematocrit decreased', 'unhappy', 'wheezing']",,,,
oral candidiasis,"['diarrhea', 'patient non compliance', 'abdominal tenderness', 'poor dentition', 'abdominal bloating', 'decreased body weight', 'painful swallowing', 'throat sore', 'chill', 'night sweat', 'transaminitis', 'headache', 'adverse effect', 'photophobia', 'non-productive cough']",,,,
osteomyelitis,"['erythema', 'prostate tender', 'swelling', 'apyrexial', 'pain', 'fever', 'sore to touch', 'pain foot', 'abscess bacterial', 'urinary hesitation', 'redness', 'difficulty passing urine']",,,,
osteoporosis,"['prostatism', 'urge incontinence', 'distended abdomen', 'numbness of hand', 'out of breath', 'sniffle', 'lightheadedness', 'syncope', 'apyrexial', 'bradykinesia', 'pain', 'fall', 'hirsutism', 'vertigo']",,,,
overload fluid,"['orthopnea', 'distended abdomen', 'hypokalemia', 'swelling', 'hyperkalemia', 'weight gain', 'sleepy', 'hypotension', 'shortness of breath', 'jugular venous distention', 'rale']",,,,
pancreatitis,"['diarrhea', 'rigor - temperature-associated observation', 'vomiting', 'apyrexial', 'pain', 'stool color yellow', 'sore to touch', 'nausea', 'pain abdominal']",,,,
pancytopenia,"['haemorrhage', 'fatigability', 'hypoproteinemia', 'cushingoid\xa0habitus', 'stool color yellow', 'fatigue', 'colic abdominal']",,,,
paranoia,"['neologism', 'agitation', 'energy increased', 'verbal auditory hallucinations', 'suicidal', 'scar tissue', 'irritable mood', 'hallucinations visual', 'blackout', 'decompensation', 'loose associations', 'feeling suicidal', 'mood depressed', 'hallucinations auditory', 'terrify', 'homelessness']",,,,
parkinson disease,"['agitation', 'orthostasis', 'hematuria', 'tremor', 'syncope', 'facial paresis', 'fall', 'stiffness', 'unresponsiveness', 'hemiplegia', 'sleepy', 'difficulty', 'withdraw', 'night sweat', 'mass of body structure', 'achalasia', 'worry']",,,,
paroxysmal dyspnea,"['orthopnea', 'cough', 'dyspnea', 'palpitation', 'pain chest', 'weight gain', 'sweating increased', 'shortness of breath', 'dyspnea on exertion', 'jugular venous distention', 'rale']",,,,
pericardial effusion body substance,"['pericardial friction rub', 'dyspnea', 'blackout', 'oliguria', 'facial paresis', 'pain', 'hypotension', 'shortness of breath', 'hemodynamically stable', 'sputum purulent', 'cardiomegaly', 'intoxication']",,,,
peripheral vascular disease,"['labored breathing', 'dyspnea', 'sinus rhythm', 'angina pectoris', 'rest pain', 'hyperkalemia', 'sore to touch', 'sleepy', 'shortness of breath', 'unresponsiveness', 'anorexia']",,,,
personality disorder,"['scratch marks', 'agitation', 'nausea and vomiting', 'enuresis', 'nightmare', 'nervousness', 'mood depressed', 'hallucinations auditory', 'homelessness', 'extreme exhaustion', 'ascites', 'transsexual', 'sleeplessness', 'feeling hopeless', 'pruritus', 'weepiness', 'side pain', 'irritable mood', 'worry']",,,,
pneumonia aspiration,"['diarrhea', 'stupor', 'cough', 'mental status changes', 'clonus', 'mediastinal shift', 'fever', 'gurgle', 'pain', 'decreased translucency', 'transaminitis', 'hemiplegia', 'unresponsiveness', 'seizure', 'extreme exhaustion', 'pain abdominal']",,,,
pneumothorax,"['hypercapnia', 'prostatism', 'agitation', 'haemoptysis', 'cough', 'dyspnea', 'soft tissue swelling', 'cardiovascular event']",,,,
primary carcinoma of the liver cells,"['haemorrhage', 'thicken', 'stupor', 'tumor cell invasion', 'indifferent mood', 'decreased body weight', 'cachexia', 'cough', 'paresis', 'hypothermia, natural', 'room spinning', 'mass of body structure', 'shortness of breath', 'hepatomegaly', 'lesion', 'splenomegaly', 'hematocrit decreased', 'pain abdominal']",,,,
primary malignant neoplasm,"['thicken', 'hematuria', 'decreased body weight', 'cushingoid\xa0habitus', 'pain', 'mass of body structure', 'lesion', 'hoarseness', 'emphysematous change', 'ascites']",,,,
psychotic disorder,"['patient non compliance', 'motor retardation', 'tremor', 'agitation', 'energy increased', 'verbal auditory hallucinations', 'nightmare', 'mood depressed', 'hallucinations auditory', 'intoxication', 'homelessness', 'hallucinations visual', 'sleeplessness', 'feeling hopeless', 'catatonia', 'behavior hyperactive', 'consciousness clear', 'weepiness', 'terrify', 'suicidal', 'irritable mood', 'blackout', 'feeling suicidal', 'withdraw', 'worry']",,,,
pyelonephritis,"['diarrhea', 'myalgia', 'vomiting', 'hematuria', 'fever', 'pain', 'urgency of\xa0micturition', 'chill', 'nausea', 'pain abdominal']",,,,
respiratory failure,"['hypokinesia', 'dyspnea', 'sinus rhythm', 'bruit', 'tachypnea', 'hyperkalemia', 'consciousness clear', 'general unsteadiness', 'shortness of breath', 'hemiplegia', 'lesion', 'redness', 'unresponsiveness', 'snore', 'productive cough']",,,,
schizophrenia,"['patient non compliance', 'agitation', 'verbal auditory hallucinations', 'suicidal', 'underweight', 'irritable mood', 'hallucinations visual', 'hypersomnolence', 'hallucinations auditory', 'homelessness', 'worry']",,,,
sepsis (invertebrate),"['haemorrhage', 'spontaneous rupture of membranes', 'bradycardia', 'lethargy', 'apyrexial', 'tachypnea', 'fever', 'cyanosis', 'hypotension', 'chill', 'unresponsiveness', 'rale', 'distress respiratory', 'breech presentation']",,,,
sickle cell anemia,"['apyrexial', 'pain chest', 'pain', 'breakthrough pain', 'shortness of breath', 'snuffle', 'pain back', 'headache', 'green sputum', 'hepatosplenomegaly', 'pain abdominal']",,,,
spasm bronchial,"['scar tissue', 'sensory discomfort', 'dyspnea', 'vomiting', 'throat sore', 'apyrexial', 'chest tightness', 'pain', 'hypoxemia', 'tachypnea', 'shortness of breath', 'fever', 'no known drug allergies', 'rhonchus', 'hemiplegia', 'fremitus', 'productive cough']",,,,
stenosis aortic valve,"['systolic murmur', 'bradycardia', 'syncope', 'sciatica', 'chest discomfort', 'angina pectoris', 'pain chest', 'pain', 'shortness of breath', 'dyspnea on exertion', 'frothy sputum']",,,,
suicide attempt,"['motor retardation', 'tremor', 'fatigue', 'difficulty', 'agitation', 'drowsiness', 'hallucinations auditory', 'sensory discomfort', 'cough', 'alcoholic withdrawal symptoms', 'sleeplessness', 'unable to concentrate', 'weepiness', 'unresponsiveness', 'todd paralysis', 'suicidal', 'irritable mood', 'blackout', 'formication', 'fever', 'unconscious state', 'withdraw', 'worry']",,,,
tachycardia sinus,"['t wave inverted', 'scar tissue', 'orthostasis', 'vomiting', 'left\xa0atrial\xa0hypertrophy', 'alcohol binge episode', 'sweating increased', 'shortness of breath', 'cardiovascular event', 'pressure chest', 'pain abdominal']",,,,
thrombocytopaenia,"['haemorrhage', 'posterior\xa0rhinorrhea', 'tachypnea', 'fever', 'hypotension', 'pruritus', 'fatigue', 'ecchymosis', 'monocytosis']",,,,
thrombus,"['hypokinesia', 'vomiting', 'hypertonicity', 'facial paresis', 'sore to touch', 'stool color yellow', 'shortness of breath', 'hypoalbuminemia', 'pruritus', 'hemodynamically stable', 'anorexia']",,,,
tonic-clonic seizures,"['moody', 'tremor', 'decreased body weight', 'muscle twitch', 'drowsiness', 'myoclonus', 'absences finding', 'spasm', 'tumor cell invasion', 'phonophobia', 'ambidexterity', 'sleepy', 'lip smacking', 'headache', 'unresponsiveness', 'hirsutism', 'rolling of eyes']",,,,
transient ischemic attack,"['difficulty', 'dysarthria', 'numbness', 'speech slurred', 'lightheadedness', 'syncope', 'extrapyramidal sign', 'facial paresis', 'asthenia', 'room spinning', ""stahli's line"", 'clumsiness', 'headache', 'vision blurred', 'rambling speech', 'vertigo', 'neck stiffness']",,,,
tricuspid valve insufficiency,"['impaired cognition', 'vomiting', 'bradycardia', 'cicatrisation', 'mediastinal shift', 'pain', 'fever', 'shortness of breath', 'nausea', 'pain abdominal']",,,,
ulcer peptic,"['out of breath', 'vomiting', 'apyrexial', 'pain chest', 'nervousness', 'gurgle', 'polymyalgia', 'hemiplegia', 'hunger', 'paraparesis', 'nausea', 'pain abdominal']",,,,
upper respiratory infection,"['stuffy nose', 'rhonchus', 'snuffle', 'egophony', 'night sweat', 'decreased translucency', 'hemodynamically stable', 'wheezing', 'pleuritic pain', 'productive cough', 'cystic lesion', 'dyspnea', 'apyrexial', 'polymyalgia', 'shortness of breath', 'emphysematous change', 'non-productive cough', 'labored breathing', 'cough', 'rapid shallow breathing', 'barking cough', 'frail', 'indifferent mood', 'throat sore', 'nasal discharge present', 'fever', 'symptom aggravating factors', 'noisy respiration']",,,,
fungal infection,"['red sore around nose', 'skin rash', 'dischromic  patches', 'skin peeling', 'family history', 'nodal skin eruptions', 'itching', 'red spots over body']",,,,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi."
allergy,"['watering from eyes', 'chills', 'shivering', 'continuous sneezing']",,,,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens."
gerd,"['cough', 'vomiting', 'chest pain', 'stomach pain', 'ulcers on tongue', 'acidity']",,,,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD."
chronic cholestasis,"['vomiting', 'abdominal pain', 'yellowing of eyes', 'loss of appetite', 'itching', 'nausea', 'yellowish skin']",,,,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases"
drug reaction,"['skin rash', 'spotting  urination', 'burning micturition', 'stomach pain', 'itching']",,,,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.
peptic ulcer diseae,"['vomiting', 'abdominal pain', 'indigestion', 'loss of appetite', 'passage of gases', 'internal itching']",,,,"Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer."
aids,"['high fever', 'muscle wasting', 'extra marital contacts', 'patches in throat']",,,,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease."
bronchial asthma,"['cough', 'family history', 'mucoid sputum', 'fatigue', 'breathlessness', 'high fever']",,,,"Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working."
hypertension,"['lack of concentration', 'loss of balance', 'chest pain', 'headache', 'dizziness']",,,,"Hypertension (HTN or HT), also known as high blood pressure (HBP), is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. High blood pressure typically does not cause symptoms."
migraine,"['irritability', 'excessive hunger', 'indigestion', 'blurred and distorted vision', 'stiff neck', 'acidity', 'depression', 'headache', 'visual disturbances']",,,,"A migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities."
cervical spondylosis,"['back pain', 'loss of balance', 'neck pain', 'dizziness', 'weakness in limbs']",,,,"Cervical spondylosis is a general term for age-related wear and tear affecting the spinal disks in your neck. As the disks dehydrate and shrink, signs of osteoarthritis develop, including bony projections along the edges of bones (bone spurs)."
paralysis (brain hemorrhage),"['altered sensorium', 'weakness of one body side', 'vomiting', 'headache']",,,,"Intracerebral hemorrhage (ICH) is when blood suddenly bursts into brain tissue, causing damage to your brain. Symptoms usually appear suddenly during ICH. They include headache, weakness, confusion, and paralysis, particularly on one side of your body."
jaundice,"['vomiting', 'dark urine', 'abdominal pain', 'high fever', 'fatigue', 'itching', 'weight loss', 'yellowish skin']",,,,"Yellow staining of the skin and sclerae (the whites of the eyes) by abnormally high blood levels of the bile pigment bilirubin. The yellowing extends to other tissues and body fluids. Jaundice was once called the ""morbus regius"" (the regal disease) in the belief that only the touch of a king could cure it"
chicken pox,"['malaise', 'skin rash', 'high fever', 'lethargy', 'loss of appetite', 'mild fever', 'fatigue', 'headache', 'swelled lymph nodes', 'itching', 'red spots over body']",,,,"Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy, blister-like rash. The rash first appears on the chest, back, and face, and then spreads over the entire body, causing between 250 and 500 itchy blisters."
dengue,"['red spots over body', 'malaise', 'muscle pain', 'back pain', 'vomiting', 'skin rash', 'loss of appetite', 'joint pain', 'fatigue', 'headache', 'pain behind the eyes', 'high fever', 'chills', 'nausea']",,,,"an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. — called also breakbone fever, dengue fever."
typhoid,"['vomiting', 'abdominal pain', 'toxic look (typhos)', 'belly pain', 'constipation', 'diarrhoea', 'fatigue', 'headache', 'high fever', 'chills', 'nausea']",,,,"An acute illness characterized by fever caused by infection with the bacterium Salmonella typhi. Typhoid fever has an insidious onset, with fever, headache, constipation, malaise, chills, and muscle pain. Diarrhea is uncommon, and vomiting is not usually severe."
hepatitis a,"['muscle pain', 'dark urine', 'vomiting', 'abdominal pain', 'yellowing of eyes', 'mild fever', 'loss of appetite', 'joint pain', 'diarrhoea', 'nausea', 'yellowish skin']",,,,Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.
hepatitis d,"['dark urine', 'vomiting', 'abdominal pain', 'yellowing of eyes', 'loss of appetite', 'joint pain', 'fatigue', 'nausea', 'yellowish skin']",,,,"Hepatitis D, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. This swelling can impair liver function and cause long-term liver problems, including liver scarring and cancer. The condition is caused by the hepatitis D virus (HDV)."
hepatitis e,"['coma', 'vomiting', 'dark urine', 'abdominal pain', 'yellowing of eyes', 'acute liver failure', 'stomach bleeding', 'loss of appetite', 'joint pain', 'fatigue', 'high fever', 'nausea', 'yellowish skin']",,,,A rare form of liver inflammation caused by infection with the hepatitis E virus (HEV). It is transmitted via food or drink handled by an infected person or through infected water supplies in areas where fecal matter may get into the water. Hepatitis E does not cause chronic liver disease.
alcoholic hepatitis,"['swelling of stomach', 'history of alcohol consumption', 'vomiting', 'abdominal pain', 'distention of abdomen', 'fluid overload.1', 'yellowish skin']",,,,"Alcoholic hepatitis is a diseased, inflammatory condition of the liver caused by heavy alcohol consumption over an extended period of time. It's also aggravated by binge drinking and ongoing alcohol use. If you develop this condition, you must stop drinking alcohol"
tuberculosis,"['malaise', 'blood in sputum', 'cough', 'vomiting', 'yellowing of eyes', 'mild fever', 'loss of appetite', 'chest pain', 'sweating', 'fatigue', 'breathlessness', 'swelled lymph nodes', 'high fever', 'chills', 'phlegm', 'weight loss']",,,,"Tuberculosis (TB) is an infectious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the lungs, but can also affect other parts of the body. Most infections show no symptoms, in which case it is known as latent tuberculosis."
dimorphic hemmorhoids(piles),"['pain during bowel movements', 'constipation', 'pain in anal region', 'bloody stool', 'irritation in anus']",,,,
hyperthyroidism,"['irritability', 'excessive hunger', 'restlessness', 'abnormal menstruation', 'fast heart rate', 'diarrhoea', 'fatigue', 'muscle weakness', 'sweating', 'mood swings', 'weight loss']",,,,"Hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine. Hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat."
osteoarthristis,"['knee pain', 'neck pain', 'joint pain', 'painful walking', 'hip joint pain', 'swelling joints']",,,,"Osteoarthritis is the most common form of arthritis, affecting millions of people worldwide. It occurs when the protective cartilage that cushions the ends of your bones wears down over time."
